Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[aba] Navegar,97,11,64,540.274708243759,0.8825000841170549,10321.043999982066,1349.4020618556701,0.8187136629174192,0.09284381744424341,64,65,66,69,80,5300,9300,10000,10000,10000,10000
GET,[health] /health,26,26,64,1206.095338463246,0.9104000637307763,13362.12710000109,7.615384615384615,0.2194490230500299,0.2194490230500299,64,65,66,66,7300,9300,13000,13000,13000,13000,13000
GET,[página] carregar dashboard,71,28,67,6477.53865916846,0.9330000029876828,21072.420899989083,921.7746478873239,0.5992646398673893,0.23632971713080142,67,83,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,[static] asset,112,8,63,1123.8530080403766,45.67889997269958,21036.243200069293,8.357142857142858,0.9453188685232057,0.06752277632308612,63,64,65,67,78,10000,21000,21000,21000,21000,21000
GET,[stream] iniciar sessão,26,4,12,1165.4232077013987,2.0664000185206532,12354.151399922557,720.9230769230769,0.2194490230500299,0.03376138816154306,14,18,19,21,6300,11000,12000,12000,12000,12000,12000
WS,[ws] handshake Streamlit,20,0,0,0.05,0,1,0.0,0.1688069408077153,0.0,0,0,0,0,0,1,1,1,1,1,1
,Aggregated,352,77,64,1988.1929278449097,0,21072.420899989083,614.25,2.9710021582157893,0.6499067221097039,64,65,67,71,8300,21000,21000,21000,21000,21000,21000
